StepCounter, Dynamics, ConfDynamics, NConDynamics,  Zeros,  Ones, ConfZeros, NConfZeros, ConfOnes, NConfOnes, RealRatioA, RealRatioB, Stress, ConfStress, NConStress, frameRate, NofClusters, MnClustersSize, MaxClustersSize, MinClustersSize, MnClustersDiam, MaxClustersDiam, MinClustersDiam, MnClustersBRat, MaxClustersBRat, MinClustersBRat, RatioA, RatioB, Noise, MaxStrengh, Distribution, Bias, N, Repetition, from, Walk1D
100,3.56E-04,0,0.003490401,5052,573,5051,1,1,572,0,0.101866667,0.18506667,0.103028506,0.908377,100.19887,91,57.69230769,5052,2,1.671629868,52.3259,1,0.99294154,1,0.3576801,0,0.1,0,100,0,0,75,49,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5035,590,0,0,0,0.104888889,0,0,0,90.26094,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,50,100, 0.0++0.05=0.501(1)
100,0.001244444,0,0.011864407,5033,592,5029,4,6,586,0,0.104888889,0.18773334,0.10499007,0.8938559,100.29735,82,63.81707317,5032,2,1.879758906,52.3259,1,0.99216478,1,0.35751194,0,0.1,0,100,0,0,75,50,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5110,515,0,0,0,0.091555556,0,0,0,91.15719,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,51,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.005825243,5111,514,5107,4,3,511,0,0.091555556,0.16577777,0.09109589,0.9067961,100.18186,82,64.5,5110,2,1.739668311,52.3259,1,0.99165195,1,0.31545988,0,0.1,0,100,0,0,75,51,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5038,587,0,0,0,0.104355556,0,0,0,91.077484,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,52,100, 0.0++0.05=0.501(1)
100,0.001066667,0,0.010221466,5039,586,5038,1,0,586,0,0.104355556,0.1880889,0.10490274,0.9020443,91.63779,74,70.5,5039,2,1.946276112,52.3259,1,0.991394153,1,0.3631673,0,0.1,0,100,0,0,75,52,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5042,583,0,0,0,0.103644444,0,0,0,84.04285,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,53,100, 0.0++0.05=0.501(1)
100,7.11E-04,0,0.006861064,5040,585,5037,3,5,580,0,0.103644444,0.18542223,0.10353035,0.8936535,100.19114,89,59.03370787,5040,2,1.847329308,52.3259,1,0.990482879,1,0.3529762,0,0.1,0,100,0,0,75,53,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5064,561,0,0,0,0.099733333,0,0,0,90.96631,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,54,100, 0.0++0.05=0.501(1)
100,0.002133333,0,0.021390375,5066,559,5062,4,2,557,0,0.099733333,0.17866667,0.09903239,0.89750445,100.207695,72,72.86111111,5066,2,2.010979331,52.3259,1,0.990859543,1,0.3418871,0,0.1,0,100,0,0,75,54,100, 0.0++0.05=0.501(1)
