StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
10	 0.028266666	 0.021244595	 0.1503268	 4254	 1371	 4191	 63	 1128	 243	 0.15502222	 0.1178793	 0.8006536	 8.140327	 39	 139.97435897435898	 4228	 2	 7.2982046115092745	 52.3259	 1.0	 0.7954749640745994	 1.0	 0.28500473	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
11	 0.027733333	 0.019552547	 0.16993465	 4282	 1343	 4221	 61	 1098	 245	 0.15244444	 0.11465971	 0.809232	 7.9621506	 39	 139.84615384615384	 4259	 2	 7.072283289371392	 52.3259	 1.0	 0.8002636493780674	 1.0	 0.2801127	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
12	 0.024711112	 0.0178605	 0.14379086	 4313	 1312	 4256	 57	 1063	 249	 0.14746666	 0.10925456	 0.811683	 7.9845057	 35	 155.88571428571427	 4290	 2	 7.626042495455061	 52.3259	 1.0	 0.8014927744865418	 1.0	 0.27226108	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
13	 0.021511111	 0.013724384	 0.15686275	 4338	 1287	 4283	 55	 1036	 251	 0.14453334	 0.10596447	 0.814951	 8.10806	 35	 155.85714285714286	 4314	 2	 7.464649752208165	 52.3259	 1.0	 0.8118390475000654	 1.0	 0.26773295	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
14	 0.020266667	 0.013348374	 0.14052288	 4334	 1291	 4286	 48	 1033	 258	 0.14284444	 0.103802405	 0.82148695	 8.262676	 34	 160.44117647058823	 4313	 2	 7.456523022230933	 52.3259	 1.0	 0.7988732097780004	 1.0	 0.26547647	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
15	 0.021866666	 0.011656326	 0.19934641	 4339	 1286	 4290	 49	 1029	 257	 0.14115556	 0.10201636	 0.82148695	 8.414135	 33	 165.24242424242425	 4317	 2	 7.570319356340351	 52.3259	 1.0	 0.8028739970741849	 1.0	 0.26314571	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
16	 0.015466667	 0.009588269	 0.11764706	 4352	 1273	 4301	 51	 1018	 255	 0.14035556	 0.101099834	 0.8227124	 8.56862	 34	 160.41176470588235	 4333	 2	 7.310999642400181	 52.3259	 1.0	 0.8103765056413763	 1.0	 0.262174	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
17	 0.018133333	 0.010528294	 0.1503268	 4362	 1263	 4313	 49	 1006	 257	 0.13884445	 0.09926678	 0.82679737	 8.248609	 32	 170.46875	 4345	 2	 7.7356790862977505	 52.3259	 1.0	 0.802707938477397	 1.0	 0.2589183	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
18	 0.016355556	 0.009776274	 0.13071896	 4376	 1249	 4323	 53	 996	 253	 0.13786666	 0.098397255	 0.8239379	 8.149282	 29	 187.9655172413793	 4362	 2	 8.246076744178247	 52.3259	 1.0	 0.7830076351247984	 1.0	 0.25767997	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
19	 0.019022223	 0.012220342	 0.13725491	 4391	 1234	 4340	 51	 979	 255	 0.1360889	 0.096869715	 0.8178105	 8.335789	 29	 188.06896551724137	 4378	 2	 8.276492131167444	 52.3259	 1.0	 0.7849289446041502	 1.0	 0.25536776	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
